id,tokens,ner_tags
6378,"['We' 'have' 'isolated' 'and' 'characterized' 'the' 'GCD6' 'and' 'GCD7'
 'genes' 'and' 'shown' 'that' 'their' 'products' 'are' 'required' 'to'
 'repress' 'GCN4' 'translation' 'under' 'nonstarvation' 'conditions' '.']",[0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
6379,"['The' 'plateau' 'MO2' 'value' 'was' 'that' 'predicted' 'by' 'allometric'
 'relation' '.']",[0 0 0 0 0 0 0 0 0 0 0]
6380,"['While' 'the' 'latter' 'corresponded' 'to' 'a' 'protein' 'of' '824'
 'amino' 'acids' ',' 'an' 'upstream' 'open' 'reading' 'frame' '(' 'uORF'
 ')' 'within' 'the' '5' ""'"" 'leader' 'could' 'potentially' 'encode' 'a'
 '54' 'amino' 'acid' 'peptide' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6381,"['The' 'SCH9' 'protein' 'kinase' 'mRNA' 'contains' 'a' 'long' '5' ""'""
 'leader' 'with' 'a' 'small' 'open' 'reading' 'frame' '.']",[0 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0]
6382,"['In' 'contrast' 'to' 'T' 'cells' ',' 'in' 'fibroblasts' 'PILOT' 'gene'
 'expression' 'requires' 'only' 'one' 'signal' '(' 'PMA' ')' 'and' 'is'
 'not' 'affected' 'by' 'CyA' '.']",[0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6383,"['Histochemical' 'localization' 'of' 'GUS' 'revealed' 'promoter'
 'function' 'in' 'leaf' 'epidermis' ',' 'mesophyll' 'and' 'vascular'
 'bundles' ',' 'in' 'the' 'cortex' 'and' 'vascular' 'cylinder' 'of' 'the'
 'root' '.']",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6384,"['In' 'order' 'to' 'investigate' 'how' 'these' 'expression' 'patterns'
 'are' 'established' ',' 'we' 'fused' 'promoter' 'regions' 'of' 'an'
 'acidic' 'and' 'a' 'basic' 'glucanase' 'gene' 'to' 'the' 'beta' '-'
 'glucuronidase' '(' 'GUS' ')' 'reporter' 'gene' 'and' 'examined'
 'expression' 'of' 'these' 'constructs' 'in' 'transgenic' 'tobacco'
 'plants' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 2 2 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]"
6385,"['Sudomoina' ',' 'A' '.']",[0 0 0 0]
6386,"['Zinc' 'fingers' '(' 'Zf' ')' 'are' 'a' 'common' 'structural' 'motif'
 'found' 'in' 'many' 'nucleic' 'acid' '-' 'binding' 'proteins' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6387,"['The' 'deduced' 'bovine' 'EFIA' '#' '1' 'amino' 'acid' '(' 'aa' ')'
 'sequence' 'is' '98' '%' 'identical' 'to' 'rat' 'EFIA' 'and' '100' '%'
 'identical' 'to' 'human' 'EFIA' '/' 'DbpB' '/' 'YB' '-' '1' 'family'
 'member' 'DNA' '-' 'binding' 'protein' 'B' '(' 'DbpB' ')' '.']","[0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 2 2 0 0 1 2 2
 2 2 0 1 0 0]"
6388,"['Effect' 'of' 'tracheal' 'insufflation' 'of' 'deferoxamine' 'on' 'acute'
 'ozone' 'toxicity' 'in' 'rats' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0]
6389,"['Localization' 'of' 'the' 'insertion' 'locus' 'in' 'the' 'yeast' 'genome'
 'and' 'complementation' 'studies' 'with' 'the' 'temperature' '-'
 'sensitive' 'mutant' 'indicate' 'that' 'the' 'two' 'mutations' 'are'
 'allelic' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6390,"['Replacement' 'of' 'the' 'spacer' 'sequence' 'between' 'the' 'two' 'ARMs'
 'with' 'a' 'shorter' 'stretch' 'of' 'sequence' 'also' 'reduced' 'RNA'
 'binding' 'in' 'vitro' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6391,"['Second' ',' 'the' 'transcription' 'factor' 'Gal' '-' 'ER' 'was'
 'rendered' 'more' 'potent' 'and' 'less' 'susceptible' 'to' 'cell' 'type'
 '-' 'specific' 'variation' 'by' 'fusing' 'the' 'strong' 'activating'
 'domain' 'of' 'the' 'herpesvirus' 'protein' 'VP16' 'onto' 'its' 'C'
 'terminus' '.']",[0 0 0 1 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0]
6392,"['The' 'exogenous' 'fos' 'gene' 'was' 'rapidly' 'induced' 'to' 'maximal'
 'levels' 'within' '1' '-' '2' 'hr' 'of' 'estrogen' 'addition' '.']",[0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6393,"['Elimination' 'of' 'Haemophilus' 'influenzae' 'type' 'b' 'meningitis'
 'after' 'introduction' 'of' 'vaccination']",[0 0 0 0 0 0 0 0 0 0 0]
6394,"['Endosonography' 'accurately' 'assessed' 'tumor' 'extension' 'in' 'two'
 'T2' 'tumors' ',' '14' 'T3' 'tumors' ',' 'and' 'seven' 'T4' 'tumors' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6395,"['Analysis' 'of' 'cell' 'cycle' 'regulation' 'in' 'the' 'budding' 'yeast'
 'Saccharomyces' 'cerevisiae' 'has' 'shown' 'that' 'a' 'central'
 'regulatory' 'protein' 'kinase' ',' 'Cdc28' ',' 'undergoes' 'changes'
 'in' 'activity' 'through' 'the' 'cell' 'cycle' 'by' 'associating' 'with'
 'distinct' 'groups' 'of' 'cyclins' 'that' 'accumulate' 'at' 'different'
 'times' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0]"
6396,"['Overlapping' 'clones' 'representing' 'full' '-' 'length' 'cDNAs' 'for'
 'MMI' 'alpha' 'were' 'obtained' 'from' 'mouse' 'brain' '.']",[0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0]
6397,"['The' 'method' 'involves' 'preliminary' 'isolation' 'of' 'oxiracetam'
 'and' 'internal' 'standard' 'from' 'plasma' 'by' 'solid' '-' 'phase'
 'extraction' 'prior' 'to' 'the' 'formation' 'of' 'their' 'n' '-' 'propyl'
 'carbamate' 'derivatives' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6398,"['Pathways' 'linking' 'the' 'olfactory' 'bulbs' 'with' 'the' 'medial'
 'preoptic' 'anterior' 'hypothalamus' 'are' 'important' 'for' 'intermale'
 'aggression' 'in' 'mice' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6399,"['In' 'contrast' ',' 'rats' 'receiving' 'U74500A' '(' '2' 'mg' '/' 'kg'
 'i' '.' 'v' '.' 'infusion' 'commencing' '30' 'min' 'prior' 'to'
 'revascularisation' ')' 'exhibited' 'enhanced' 'GMBF' 'throughout'
 'reperfusion' '[' 'PI' '10' 'min' ':' '3' '.' '26' '(' '2' '.' '56' '-'
 '3' '.' '63' ')' ';' '120' 'min' ':' '2' '.' '03' '(' '1' '.' '73' '-'
 '2' '.' '25' ')' ';' '240' 'min' ':' '2' '.' '13' '(' '1' '.' '75' '-'
 '2' '.' '44' ')' ',' 'p' '<' '0' '.' '01' 'vs' '.' 'controls' 'and'
 'normals' ']' 'with' 'complete' 'muscle' 'salvage' '[' 'GMV' '100' '%'
 'in' 'all' 'reperfused' 'muscles' ',' 'p' '<' '0' '.' '01' 'vs' '.'
 'controls' ',' 'not' 'significant' '(' 'NS' ')' 'vs' '.' 'normals' 'and'
 '6' 'h' 'ischaemia' ']' '.' '(' 'ABSTRACT' 'TRUNCATED' 'AT' '250' 'WORDS'
 ')']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
6400,"['Sequencing' 'of' 'a' '1' '.' '3' '-' 'kilobase' 'fragment' 'of' 'the'
 '5' ""'"" '-' 'flanking' 'region' 'of' 'the' 'TSG6' 'gene' 'identified'
 'TATA' '-' 'like' 'and' 'CAAT' 'sequences' 'near' 'the' 'transcription'
 'start' 'site' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0]
6401,"['The' 'region' 'that' 'imparts' 'inducibility' 'by' 'IL' '-' '1' 'or'
 'TNF' '(' 'positions' '-' '165' 'to' '-' '58' ')' 'contains' 'potential'
 'binding' 'sites' 'for' 'IRF' '-' '1' 'and' '-' '2' ',' 'AP' '-' '1' ','
 'and' 'NF' '-' 'IL' '-' '6' '.']","[0 0 0 0 0 0 1 2 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 2 2 0 1 2 2 0 0 1
 2 2 2 2 0]"
6402,"['Ig' '-' 'alpha' 'and' 'Ig' '-' 'beta' 'contain' 'extended' 'cytoplasmic'
 'structure' '(' '61' 'and' '48' 'amino' 'acids' ',' 'respectively' ')'
 'and' 'associate' 'with' 'cytoplasmic' 'effectors' 'indicating' 'that'
 'they' 'are' 'directly' 'involved' 'in' 'signal' 'transduction' '.']",[1 2 2 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6403,"['We' 'studied' 'the' 'functional' 'interaction' 'between' 'human'
 'embryonic' 'zeta' '2' 'globin' 'promoter' 'and' 'the' 'alpha' 'globin'
 'regulatory' 'element' '(' 'HS' '-' '40' ')' 'located' '40' 'kb'
 'upstream' 'of' 'the' 'zeta' '2' 'globin' 'gene' '.']",[0 0 0 0 0 0 0 0 1 2 2 0 0 0 1 2 2 2 0 1 2 2 0 0 0 0 0 0 0 1 2 2 2 0]
6404,"['It' 'was' 'shown' 'by' 'transient' 'expression' 'assay' 'that' 'HS' '-'
 '40' 'behaved' 'as' 'an' 'authentic' 'enhancer' 'for' 'high' '-' 'level'
 'zeta' '2' 'globin' 'promoter' 'activity' 'in' 'K562' 'cells' ',' 'an'
 'erythroid' 'cell' 'line' 'of' 'embryonic' 'and' '/' 'or' 'fetal'
 'origin' '.']","[0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0]"
6405,"['Initial' 'results' 'indicate' 'that' 'this' '23S' 'pre' '-' 'rRNA' 'is'
 'the' 'same' 'as' 'the' 'species' 'detected' 'on' 'depletion' 'of' 'the'
 'small' 'nucleolar' 'RNA' '-' 'associated' 'proteins' 'NOP1' 'and' 'GAR1'
 'and' 'in' 'an' 'snr10' 'mutant' 'strain' '.']",[0 0 0 0 0 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 2 2 1 0 1 0 0 0 1 2 0 0]
6406,"['Breitbart' ',' 'L' '.']",[0 0 0 0]
6407,"['This' 'study' 'evaluates' 'the' 'feasibility' 'of' 'indirect'
 'mesenteric' 'lymphangiography' 'as' 'a' 'colonoscopic' 'technique' 'in'
 'a' 'canine' 'model' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6408,"['Internal' 'amino' 'acid' 'sequence' 'has' 'now' 'been' 'obtained' 'from'
 'this' 'protein' 'which' 'shares' '50' '-' '100' '%' 'sequence'
 'identity' 'with' 'sequences' 'encoded' 'by' 'mammalian' 'G' 'alpha' '11'
 'and' 'G' 'alpha' 'q' 'cDNAs' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 0 1 2 2 2 0]
6409,"['Estradiol' 'is' 'known' 'to' 'induce' 'expression' 'of' 'certain'
 'proto' '-' 'oncogenes' ',' 'and' 'this' 'led' 'us' 'to' 'examine'
 'potential' 'regulatory' 'regions' 'of' 'the' 'cellular' 'c' '-' 'fos'
 'oncogene' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 2 0]
6410,['Air' 'lead' 'was' 'not' 'a' 'significant' 'explanatory' 'variable' '.'],[0 0 0 0 0 0 0 0 0]
6411,"['We' 'now' 'show' 'that' 'regulation' 'of' 'flaN' 'transcription' 'in'
 'vivo' 'depends' 'on' 'a' 'sigma' '54' 'promoter' 'and' 'two' 'ftr'
 'elements' 'located' 'downstream' 'of' 'the' 'transcription' 'start'
 'site' 'at' '+' '86' '(' 'ftr2' ')' 'and' '+' '120' '(' 'ftr3' ')' '.']","[0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
6412,['Fibular' 'dimelia' 'with' 'deficiency' 'of' 'the' 'tibia' '.'],[0 0 0 0 0 0 0 0]
6413,"['This' 'prospective' 'study' 'compared' 'the' 'measured' 'energy'
 'expenditures' 'of' '30' 'patients' 'using' 'indirect' 'calorimetry'
 'with' 'their' 'predicted' 'basal' 'energy' 'expenditure' 'according'
 'to' 'the' 'Harris' '-' 'Benedict' 'equation' ',' 'or' 'their'
 'calculated' 'energy' 'expenditure' 'derived' 'from' 'basal' 'energy'
 'expenditure' 'times' ',' 'an' 'activity' 'factor' ',' 'and' 'a' 'stress'
 'factor' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
6414,"['However' ',' 'after' 'repeated' 'infections' ',' 'hypobiotic' 'larvae'
 'were' 'numerous' '.']",[0 0 0 0 0 0 0 0 0 0 0]
6415,"['This' 'was' 'performed' 'in' 'a' 'double' 'blinded' ',' 'randomized' ','
 'placebo' '-' 'controlled' 'study' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6416,"['Group' 'I' 'consisted' 'of' 'six' 'noncholestatic' 'patients' ';'
 'group' 'II' 'consisted' 'of' 'nine' 'mildly' 'cholestatic' 'patients'
 'with' 'mild' 'hepatic' 'impairment' '(' 'conjugated' 'bilirubin' ','
 '47' 'mumol' 'liter' '-' '1' ';' 'alkaline' 'phosphatase' ',' '280' 'IU'
 'liter' '-' '1' ';' 'gamma' '-' 'glutamyltranspeptidase' ',' '190' 'IU'
 'liter' '-' '1' ')' ';' 'group' 'III' 'consisted' 'of' 'six' 'benign'
 'intrahepatic' 'cholestatic' 'patients' 'with' 'high' 'isolated'
 'conjugated' 'hyperbilirubinemia' '(' '98' '.' '1' 'mumol' 'liter' '-'
 '1' ')' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0
 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
6417,"['There' 'was' 'either' 'no' 'change' 'or' 'an' 'improvement' 'in'
 'renographic' 'findings' '(' 't1' '/' '2' 'time' 'and' '/' 'or' 'split'
 'function' ')' 'in' '40' 'patients' '(' '93' '%' ')' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6418,"['We' 'discuss' 'the' 'need' 'to' 'use' 'animals' 'older' 'than' '3'
 'months' 'for' 'the' 'study' 'of' ""'"" 'adult' ""'"" 'regeneration'
 'phenomena' 'since' '3' '-' 'month' '-' 'old' 'rats' 'may' 'be'
 'somewhat' 'immature' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6419,"['Nuclear' 'beta' 'II' 'PKC' ',' 'like' 'p34cdc2' 'kinase' ',' 'may'
 'function' 'to' 'regulate' 'nuclear' 'lamina' 'structural' 'stability'
 'during' 'cell' 'cycle' '.']",[1 2 2 2 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0]
6420,"['In' 'situ' 'copper' '-' 'phenanthroline' 'footprinting' 'of'
 'individual' 'gel' 'shift' 'assembly' 'intermediates' 'shows' 'that' 'on'
 'the' '302' '-' 'nucleotide' 'G4oric' ',' 'the' 'first' 'two' 'SSB'
 'tetramers' 'assemble' 'at' 'random' ',' 'but' 'the' 'addition' 'of'
 'more' 'SSB' 'tetramers' 'results' 'in' 'formation' 'of' 'a' 'unique'
 'structure' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 2
 0 0 0 0 0 0 0 0]"
6421,"['Effects' 'of' 'intramammary' 'endotoxin' 'infusion' 'on' 'milking' '-'
 'induced' 'oxytocin' 'release' '.']",[0 0 0 0 0 0 0 0 0 1 0 0]
6422,"['A' 'rat' 'cDNA' 'that' 'encodes' 'eIF' '-' '5' 'has' 'been' 'isolated'
 'and' 'expressed' 'in' 'Escherichia' 'coli' 'to' 'yield' 'a'
 'catalytically' 'active' 'eIF' '-' '5' 'protein' '.']",[0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 0]
6423,"['In' 'F42A' '-' 'stimulated' 'internalization' 'assays' 'on' 'forskolin'
 '-' 'induced' 'YT' '-' '1' 'cells' ',' 'the' 'IL' '-' '2R' 'alpha'
 'chain' 'is' 'consistently' 'endocytosed' 'together' 'with' 'the' 'IL'
 '-' '2R' 'beta' 'subunit' 'indicating' 'that' 'IL' '-' '2R' 'alpha' 'is'
 'stably' 'associated' 'with' 'the' 'F42A' '-' 'IL' '-' '2R' 'beta'
 'complex' 'even' 'though' 'the' 'alpha' '-' 'subunit' 'contributes'
 'little' 'if' 'any' 'affinity' 'to' 'the' 'F42A' 'binding' 'reaction' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 2 0 0 0 0 0 0 1 2 2 2 2 0 0 1 2 2
 2 0 0 0 0 0 1 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
6424,"['The' 'microcirculatory' 'dynamics' 'of' 'prostaglandin' 'E1' 'and' '/'
 'or' 'nicardipine' 'and' 'their' 'different' 'reactions' 'in' 'the'
 'hyper' '-' 'and' 'hypodynamic' 'state' 'of' 'septic' 'shock' 'in' 'a'
 'rat' 'model']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6425,"['The' 'short' '-' 'term' 'synthesis' 'and' 'infant' '-' 'regulated'
 'removal' 'of' 'milk' 'in' 'lactating' 'women' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6426,"['Based' 'on' 'these' 'results' ',' 'a' 'new' 'model' 'for' 'the'
 'regulation' 'of' 'nif' '/' 'fix' 'gene' 'expression' 'in' 'A' '.'
 'caulinodans' 'is' 'proposed' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0]
6427,"['Nitric' 'oxide' 'inhalation' 'selectively' 'reduces' 'pulmonary'
 'hypertension' 'in' 'porcine' 'endotoxin' 'shock' 'and' 'improves'
 'arterial' 'oxygenation' 'and' 'pH' 'with' 'a' 'marked' 'attenuation'
 'of' 'sympathetic' 'activation' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6428,"['B' 'cell' '-' 'specific' 'mb' '-' '1' 'and' 'B29' 'genes' 'encode' 'the'
 'alpha' '/' 'beta' 'components' 'of' 'the' 'BCR' '-' 'associated'
 'complex' 'in' 'mature' 'sIgM' '+' 'B' 'cells' '.']",[0 0 0 0 1 2 2 0 1 2 0 0 0 0 0 0 0 0 1 2 2 2 0 0 1 2 0 0 0]
6429,"['Bipolarity' 'in' 'Jungian' 'type' 'theory' 'and' 'the' 'Myers' '-'
 'Briggs' 'Type' 'Indicator' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0]
6430,"['A' 'variety' 'of' 'nuclear' 'ribonucleoproteins' 'are' 'believed' 'to'
 'associate' 'directly' 'with' 'nascent' 'RNA' 'polymerase' 'II'
 'transcripts' 'and' 'remain' 'associated' 'during' 'subsequent' 'nuclear'
 'RNA' 'processing' 'reactions' ',' 'including' 'pre' '-' 'mRNA'
 'polyadenylation' 'and' 'splicing' 'as' 'well' 'as' 'nucleocytoplasmic'
 'mRNA' 'transport' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
6431,"['Mutations' 'at' 'three' 'sites' 'have' 'larger' 'effects' 'in' 'muscle'
 'than' 'nonmuscle' 'cells' ';' 'an' 'A' '/' 'T' '-' 'rich' 'site'
 'mutation' 'has' 'a' 'pronounced' 'effect' 'in' 'both' 'striated'
 'muscle' 'types' ',' 'mutations' 'at' 'the' 'MEF1' '(' 'Right' 'E' '-'
 'box' ')' 'site' 'are' 'relatively' 'specific' 'to' 'expression' 'in'
 'skeletal' 'muscle' ',' 'and' 'mutations' 'at' 'the' 'CArG' 'site' 'are'
 'relatively' 'specific' 'to' 'expression' 'in' 'cardiac' 'muscle' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2
 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
6432,"['Transient' 'transfection' 'analysis' 'with' 'these' 'mutations'
 'revealed' 'that' 'only' 'a' '10' '-' 'bp' 'region' ',' 'containing'
 'precisely' 'the' 'Ets' 'and' 'proximal' 'LyF' '-' '1' 'binding' 'sites'
 ',' 'was' 'needed' 'for' 'D' ""'"" 'activity' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 2 2 2 2 0 0 0 0 0 0 0 0]
6433,"['However' ',' 'despite' 'its' 'relationship' 'to' 'the' 'TR' ',' 'Rev'
 '-' 'Erb' 'bound' 'poorly' 'to' 'TR' 'binding' 'sites' '.']",[0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 2 2 0]
6434,"['We' 'report' 'here' 'that' 'a' '25' '-' 'bp' 'promoter' 'element'
 'previously' 'shown' 'to' 'be' 'important' 'for' 'the' 'G1' '-' 'S'
 'activation' 'of' 'the' 'human' 'thymidine' 'kinase' '(' 'htk' ')'
 'promoter' 'in' 'growth' '-' 'stimulated' 'cells' 'is' 'a' 'cellular'
 'target' 'of' 'cyclin' 'A' 'and' 'the' 'p33cdk2' 'complexes' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 1 0 0 0 0 0 0 0 0 0
 0 0 0 1 2 0 0 1 2 0]"
6435,"['These' 'protective' 'influences' 'were' 'observed' 'throughout' 'the'
 'range' 'of' 'filling' 'pressures' 'measured' ',' 'from' '0' 'to' '30'
 'mmHg' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6436,"['DNase' 'I' 'footprinting' 'with' 'rat' 'liver' 'nuclear' 'extracts'
 'identified' '7' 'major' 'protein' '-' 'binding' 'domains' 'termed' 'P1'
 'through' 'P7' 'in' 'a' '796' 'base' 'pair' 'DNA' 'fragment' '(' 'base'
 'pairs' '-' '763' 'to' '+' '33' ')' '.']",[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6437,['Neither' 'clone' 'encoded' 'the' 'cognate' 'endonuclease' '.'],[0 0 0 0 0 0 0]
6438,"['The' 'nifJ' 'and' 'nifH' 'promoters' 'of' 'Klebsiella' 'pneumoniae'
 'are' 'divergently' 'transcribed' 'sigma' '54' '-' 'dependent'
 'promoters' 'that' 'are' 'positively' 'activated' 'by' 'the' 'NifA'
 'protein' '.']",[0 1 0 1 2 2 2 2 0 0 0 1 2 2 2 2 0 0 0 0 0 0 1 2 0]
6439,"['Both' 'inhaled' 'and' 'superfused' 'isoflurane' 'dilated' 'the'
 'baseline' 'vein' 'diameter' 'before' 'stimulation' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0]
6440,"['Prevalence' 'of' 'rheumatoid' 'arthritis' 'and' 'rheumatoid' 'factor'
 'in' 'women' ':' 'evidence' 'for' 'a' 'secular' 'decline' '.']",[0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0]
6441,"['Although' 'olfactory' 'associative' 'conditioning' 'in' 'newborn' 'rats'
 'produces' 'marked' 'structural' 'and' 'functional' 'changes' 'in' 'the'
 'olfactory' 'bulb' ',' 'recent' 'evidence' 'suggests' 'that'
 'extrabulbar' 'circuits' 'must' 'be' 'involved' 'in' 'storing' 'these'
 'early' 'memories' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6442,"['The' 'fission' 'yeast' 'dsk1' '+' 'gene' ',' 'a' 'multicopy'
 'suppressor' 'for' 'cold' '-' 'sensitive' 'dis1' 'mutants' ',' 'encodes'
 'a' 'novel' '61' '-' 'kd' 'protein' 'kinase' '.']",[0 1 2 2 2 2 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0]
6443,"['Closure' 'of' 'the' 'patent' 'ductus' 'arteriosus' 'with' 'a' 'Ligaclip'
 'through' 'a' 'minithoracotomy' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0]
6444,"['Sequence' 'comparison' 'between' 'the' 'translated' 'ORF' 'and' 'a'
 'protein' 'database' 'reveal' 'between' '26' '.' '5' 'and' '23' '.' '4'
 '%' 'aa' 'sequence' 'homology' 'to' 'bacterial' 'transmembrane' '(' 'TM'
 ')' 'proteins' 'including' 'those' 'mediating' 'chloramphenicol' '(' 'Cm'
 ')' 'and' 'tetracycline' '(' 'Tc' ')' 'resistance' 'and' 'an' 'arabinose'
 '-' 'proton' 'symport' 'protein' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 2 2 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
